数据ID,房间名称,房间编号,洁净等级,房间吊顶高度,房间面积,室压,房间人数,房间夏季温度,房间冬季温度,温度控制精度,房间夏季相对湿度,房间冬季相对湿度,湿度控制精度,职业暴露等级,电热设备功率,电热设备有无排风,电热设备有无保温,电动设备功率,电动设备效率,其他设备表面面积,其他设备表面温度,敞开水面表面面积,敞开水面表面温度,设备是否连续排风,设备排风量,是否连续排湿除味,排湿除味排风率,除尘排风粉尘量,除尘排风排风率,是否事故排风,事故通风介质,层流保护区域,层流保护面积,监控温度,监控相对湿度,监控压差,备注,系统编号,所在楼层,是否防爆区,
'21D4B,清洁间,A76,CNC,2.8,0,,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21D21,正压门斗3,A73,CNC,2.8,0,,1,26,18,,65,45,,,,,,,,,,,,,,,,,,是,乙醇,,,,,,,1A,,1,
'21CF7,制水间,A74,CNC,2.8,0,,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21CCD,洁具清洗间,A23,D,2.6,0,15,2,26,18,,65,45,45-65,,,,,,,,,,,,,间歇,100,,,,,,,,,,,1A,,1,
'21CA3,洁具暂存间,A19,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21C79,灌装加塞轧盖间,B11,C,3,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'21C4F,瓶清洗干燥间,B15,C,3,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,间歇,50,,,,,,,,,,,1B,,0,
'21C25,中间体暂存间,A24,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21BFB,器具清洗间,A30,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,间歇,50,,,,,,,,,,,1A,,0,
'21BD1,粉剂内包2缓冲,A04,CNC,2.6,259,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21BA7,粉剂内包1缓冲,A05,CNC,2.6,4,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21B7D,瓶内包缓冲,A03,CNC,2.6,4,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21B53,除尘间,A22,D,4.2,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21B29,包衣前室,A13,D,2.6,0,20,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21AFF,包衣配浆间,A12,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21AD5,包衣间,A11,D,3.5,25,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21AAB,内包材间,A10,D,2.6,0,30,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21A81,瓶内包,A09,D,4,42,15,2,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21A57,粉剂内包1,A08,D,4,30,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21A2D,粉剂内包2,A07,D,4,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21A03,废弃物暂存间,A17,CNC,2.6,0,5,2,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'219D9,废弃物传出间,A14,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'219AF,检丸间,A15,D,2.6,0,15,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21985,干燥间,A20,D,2.6,0,20,1,26,18,,65,45,＜35,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'2195B,模具间,A27,D,2.6,0,30,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21931,中间化验,A29,D,2.6,0,15,2,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21907,擦油间,A28,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
